0,0,0,sym,0,100,285,595,0.4789915978908539,9,0,0,0,0,0,0,0
1,61,1,123,0,0,0,0,0,,670,12,6,2018,15,20,59
2,66,1,123,0,,,,,,670,12,6,2018,16,7,8
3,74,1,123,0,,,,,,670,12,6,2018,16,7,9
4,54,1,123,1,,,,,,670,12,6,2018,16,7,10
5,50,1,123,1,,,,,,670,12,6,2018,16,7,11
6,54,1,123,1,,,,,,670,12,6,2018,16,7,12
7,40,1,123,0,,,,,,670,12,6,2018,16,7,13
8,44,1,123,0,,,,,,670,12,6,2018,16,7,14
9,40,1,123,1,,,,,,670,12,6,2018,16,7,15
10,41,1,123,1,,,,,,670,12,6,2018,16,7,16
11,53,1,123,1,,,,,,670,12,6,2018,16,7,17
12,80,1,123,1,,,,,,670,12,6,2018,16,7,18
13,93,1,123,1,,,,,,670,12,6,2018,16,7,19
14,97,1,123,1,,,,,,670,12,6,2018,16,7,20
15,100,1,123,1,,,,,,670,12,6,2018,16,7,21
16,93,1,123,0,,,,,,670,12,6,2018,16,7,22
17,64,1,123,0,,,,,,670,12,6,2018,16,7,23
18,47,1,123,0,,,,,,670,12,6,2018,16,7,24
19,63,1,123,0,,,,,,670,12,6,2018,16,7,25
20,87,1,123,0,,,,,,670,12,6,2018,16,7,26
21,100,1,123,0,,,,,,670,12,6,2018,16,7,27
22,100,1,123,0,,,,,,670,12,6,2018,16,7,29
23,84,1,123,1,,,,,,670,12,6,2018,16,7,30
24,94,1,123,1,,,,,,670,12,6,2018,16,7,31
25,93,1,123,0,,,,,,670,12,6,2018,16,7,32
26,74,1,123,1,,,,,,670,12,6,2018,16,7,33
27,77,1,123,1,,,,,,670,12,6,2018,16,7,34
28,69,1,123,0,,,,,,670,12,6,2018,16,7,35
29,67,1,123,1,,,,,,670,12,6,2018,16,7,36
30,93,1,123,1,,,,,,670,12,6,2018,16,7,37
31,96,1,123,1,,,,,,670,12,6,2018,16,7,38
32,91,1,123,0,,,,,,670,12,6,2018,16,7,39
